part_name,occurrences
23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2_1,2
23989_001_C03_1_TOP_CELL_HOLDER__BATTERY__DROID__P2,6
23994_005_A01_1_CELL_ASSY__BATTERY__DROID__P2,265
24001_001_B02_1_P30B__18650__MOLICEL,1
24001_001_B02_1_P30B__18650__MOLICEL_1,1
24001_001_B02_1_P30B__18650__MOLICEL_2,1
24001_001_B02_1_P30B__18650__MOLICEL_3,1
24001_001_B02_1_P30B__18650__MOLICEL_4,1
24002_001_B02_1_BOTTOM_CELL_HOLDER__BATTERY__DROID__P2,1
24003_000_A02_1_SS_RINGS__TOP_CELL_HOLDER__CELL_ASSY__BATTERY__DROID__P2,1
24003_000_A02_1_SS_RINGS__TOP_CELL_HOLDER__CELL_ASSY__BATTERY__DROID__P2_1,1
24003_000_A02_1_SS_RINGS__TOP_CELL_HOLDER__CELL_ASSY__BATTERY__DROID__P2_2,1
24003_000_A02_1_SS_RINGS__TOP_CELL_HOLDER__CELL_ASSY__BATTERY__DROID__P2_3,1
24003_000_A02_1_SS_RINGS__TOP_CELL_HOLDER__CELL_ASSY__BATTERY__DROID__P2_4,1
24268_004_A01_1_LEFT_DRIVE_ARM_ASSY__LEFT_DOOR_ASSY__DROID__P2,5
24269_004_A01_1_RIGHT_FREE_ARM_ASSY__RIGHT_DOOR_ASSY__DROID__P2,5
24272_004_A01_1_RIGHT_DRIVE_ARM_ASSY__RIGHT_DOOR_ASSY__DROID__P2,5
24274_004_A01_1_LEFT_FREE_ARM_ASSY__LEFT_DOOR_ASSY__DROID__P2,5
24544_005_B01_1_BATTERY__DROID__P2,321
24767_000_A02_1_TIM_4MM__CELL_ASSY__BATTERY__DROID__P2,1
24767_000_A02_1_TIM_4MM__CELL_ASSY__BATTERY__DROID__P2_1,1
24768_000_A02_1_TIM_6MM__CELL_ASSY__BATTERY__DROID__P2,1
24768_000_A02_1_TIM_6MM__CELL_ASSY__BATTERY__DROID__P2_1,1
24768_000_A02_1_TIM_6MM__CELL_ASSY__BATTERY__DROID__P2_2,1
25050_001_B01_1_DROID_PARALAND_HARNESS__DROID__P2,9
25164_004_A01_1_MAIN_THRUST_MOTOR__DROID__P2,140
25194_000_D04_1_M2_5_PRESS_FIT_NUT__PEM_PN__SMPS_M2_5,1
25194_000_D04_1_M2_5_PRESS_FIT_NUT__PEM_PN__SMPS_M2_5_1,1
25279_004_F01_1_ASSY_PCBA__FRONT_MOTOR_NODE__DROID__P2,1070
25341_002_E01_1_PCB__BRAIN__DROID__P2,13
25353_001_D02_1_CLEAT__PARALAND_ASSY__DROID__P2,1
25383_000_A02_1_CONNECTOR__M5_4_PIN__MALE__SOLDER_CUP,3
25383_000_A02_1_CONNECTOR__M5_4_PIN__MALE__SOLDER_CUP_1,3
25383_000_A02_1_CONNECTOR__M5_4_PIN__MALE__SOLDER_CUP_2,3
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_1,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_2,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_3,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_4,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_5,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_6,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_7,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_8,1
25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_9,1
25450_001_C03_1_COVER__BOTTOM__AFT_MOTOR_NODE__DROID__P2,1
25451_001_B02_1_GASKET__BOTTOM_COVER__AFT_MOTOR_NODE__DROID__P2,1
25452_002_E01_1_COATED_PCBA__AFT_MOTOR_NODE__DROID__P2,1187
25453_001_C03_1_GASKET__TOP_COVER__AFT_MOTOR_NODE__DROID__P2,1
25454_001_B03_1_COVER__TOP__AFT_MOTOR_NODE__DROID__P2,1
25455_002_E01_1_FLEX_AND_AMN_ASSY__DROID__P2,1401
25776_002_C01_1_GASKET_ASSY__SOM_HOUSING__BRAIN__DROID__P2,3
25934_001_A02_1_MOTOR_ASSEMBLY__BLOWER__P2_,25
25934_001_A02_1_MOTOR_ASSEMBLY__BLOWER__P2__1,25
25936_000_A01_1_COTS__M2__4MM__BHS,1
25936_000_A01_1_COTS__M2__4MM__BHS_1,1
25936_000_A01_1_COTS__M2__4MM__BHS_10,1
25936_000_A01_1_COTS__M2__4MM__BHS_11,1
25936_000_A01_1_COTS__M2__4MM__BHS_2,1
25936_000_A01_1_COTS__M2__4MM__BHS_3,1
25936_000_A01_1_COTS__M2__4MM__BHS_4,1
25936_000_A01_1_COTS__M2__4MM__BHS_5,1
25936_000_A01_1_COTS__M2__4MM__BHS_6,1
25936_000_A01_1_COTS__M2__4MM__BHS_7,1
25936_000_A01_1_COTS__M2__4MM__BHS_8,1
25936_000_A01_1_COTS__M2__4MM__BHS_9,1
26111_005_G02_1_PROP__REAR_THRUSTER__DROID__P2,3
26116_005_G02_1_PROP__FRONT_THRUSTER__DROID__P2,3
26146_004_G01_1_PCBA_COATED__FRONT_MOTOR_NODE__DROID__P2,1062
26219_003_D01_1_CENTER_TUB__ASSY__DROID__P2,30
26221_003_A01_1_FRONT_LATERAL_THRUSTER__ASSY__DROID__P2,135
26323_003_D03_1_PROP__MAIN_THRUSTER__DROID__P2,4
26406_000_A01_1_COTS__MOUNT_TO_SOM_ALIGNMENT_SPRING__FLIGHT_COMPUTER__ZIP__P2,1
26867_003_A01_1_REAR_LATERAL_THRUSTER__ASSY__DROID__P2,135
26871_005_A02_1_MOUNTED_THRUSTER_ASSY__DROID__P2,211
26980_000_B01_1_WIDE_ANGLE_LENS_ASSY__BRAIN__DROID__P2,8
26982_002_C01_1_GASKET_ASSY__HEATSINK__SOM_HOUSING_ASSY__BRAIN__DROID__P2,2
26983_001_C01_1_SOM_HOUSING_ASSY__BRAIN__DROID__P2,7
27012_001_C01_1_AFT_BULKHEAD__CENTER_TUB__DROID__P2,8
27013_001_C01_1_FORE_BULKHEAD__CENTER_TUB__DROID__P2,7
27014_000_B01_1_LATERAL_STIFFENER__CENTER_TUB__DROID__P2,1
27014_000_B01_1_LATERAL_STIFFENER__CENTER_TUB__DROID__P2_1,1
27017_002_D01_1_TUB_AFT_HALF__DROID__P2,1
27018_003_E01_1_TUB_FORE_HALF__DROID__P2,1
27147_000_C01_1_HOUSING__20_PIN__FLEX_CONNECTOR,1
27148_000_B02_1_STIFFENER__20_PIN__FLEX_CONNECTOR,2
27149_000_B02_1_GASKET__20_PIN__FLEX_CONNECTOR,2
