catalog_index,group_name,clean_part_name,material_name
1,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 30606_001_C01_1_LID_FOAM__DROID__P2 Split_Body__110_,32909_005_A01_1_LID_KIT__DROID__P2 30606_001_C01_1_LID_FOAM__DROID__P2 Split_Body__110_,Split_Body__110_Material0
2,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__1_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__1_,Linked_Body__1_Material0
3,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__2_,Linked_Body__2_Material0
4,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27861_000_C01_1_HOUSING__10_PIN__FLEX_CONNECTOR Linked_Body__1__1,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27861_000_C01_1_HOUSING__10_PIN__FLEX_CONNECTOR Linked_Body__1__1,Linked_Body__1__1Material0
5,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Extrude__4_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Extrude__4_,Extrude__4_Material0
6,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Linked_Body__1__2,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Linked_Body__1__2,Linked_Body__1__2Material0
7,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__1__3,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__1__3,Linked_Body__1__3Material0
8,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__2__1,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__2__1,Linked_Body__2__1Material0
9,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__4_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__4_,Linked_Body__4_Material0
10,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__4,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__4,Linked_Body__1_Material0
11,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__3_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__3_,Linked_Body__3_Material0
12,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2 Extrude__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2 Extrude__2_,Extrude__2_Material0
13,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_1 Extrude__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_1 Extrude__2_,Extrude__2_Material0
14,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_2 Extrude__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_2 Extrude__2_,Extrude__2_Material0
15,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_3 Extrude__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_3 Extrude__2_,Extrude__2_Material0
16,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_4 Extrude__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_4 Extrude__2_,Extrude__2_Material0
17,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_5 Extrude__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_5 Extrude__2_,Extrude__2_Material0
18,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 30601_000_B01_1_BARE_FLEX__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__5,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 30601_000_B01_1_BARE_FLEX__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__5,Linked_Body__1__5Material0
19,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 30601_000_B01_1_BARE_FLEX__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__5,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 30601_000_B01_1_BARE_FLEX__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__5,Extrude__2_Material0
20,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30669_001_B01_1_CARRIER__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__6,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30669_001_B01_1_CARRIER__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__6,Linked_Body__1__6Material0
21,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 42398_000_A01_1_INNER_VHB__LID_FLEX_HARNESS__DROID__P2 Extrude__2__1,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 42398_000_A01_1_INNER_VHB__LID_FLEX_HARNESS__DROID__P2 Extrude__2__1,Extrude__2__1Material0
22,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 42399_000_B01_1_OUTER_VHB__LID_FLEX_HARNESS__DROID__P2 Extrude__2__2,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 42399_000_B01_1_OUTER_VHB__LID_FLEX_HARNESS__DROID__P2 Extrude__2__2,Extrude__2__2Material0
23,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 42410_000_A01_1_PSA__LID_FLEX_HARNESS__DROID__P2 Extrude__3_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 42410_000_A01_1_PSA__LID_FLEX_HARNESS__DROID__P2 Extrude__3_,Extrude__4_Material0
24,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 31705_001_C01_1_LID_HINGE_CAP_RH__DROID__P2 Linked_Body__115_,32909_005_A01_1_LID_KIT__DROID__P2 31705_001_C01_1_LID_HINGE_CAP_RH__DROID__P2 Linked_Body__115_,Linked_Body__115_Material0
25,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 31704_001_B01_1_LID_HINGE_CAP_LH__DROID__P2 Extracted_Body__5_,32909_005_A01_1_LID_KIT__DROID__P2 31704_001_B01_1_LID_HINGE_CAP_LH__DROID__P2 Extracted_Body__5_,Extracted_Body__5_Material0
26,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS COMBINE1,32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS COMBINE1,Extrude__4_Material0
27,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_1 COMBINE1,32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_1 COMBINE1,Extrude__4_Material0
28,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_2 COMBINE1,32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_2 COMBINE1,Extrude__4_Material0
29,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_3 COMBINE1,32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_3 COMBINE1,Extrude__4_Material0
30,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_4 COMBINE1,32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_4 COMBINE1,Extrude__4_Material0
31,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_5 COMBINE1,32909_005_A01_1_LID_KIT__DROID__P2 32801_000_A01_1_DELTA_PT25_SCREW__9MM__PHS_5 COMBINE1,Extrude__4_Material0
32,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD Extracted_Body__8_,32909_005_A01_1_LID_KIT__DROID__P2 25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD Extracted_Body__8_,Extrude__4_Material0
33,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_1 Extracted_Body__8_,32909_005_A01_1_LID_KIT__DROID__P2 25397_000_A01_1_BHCS__M1_6__10MM__WIDE_HEAD_1 Extracted_Body__8_,Extrude__4_Material0
34,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32453_001_B01_1_LID_LINER_ASSY__DROID__P2 30613_001_B02_1_LID_LINER__LID_LINER_ASSY__DROID__P2 Linked_Body__6_,32909_005_A01_1_LID_KIT__DROID__P2 32453_001_B01_1_LID_LINER_ASSY__DROID__P2 30613_001_B02_1_LID_LINER__LID_LINER_ASSY__DROID__P2 Linked_Body__6_,Linked_Body__3_Material0
35,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32453_001_B01_1_LID_LINER_ASSY__DROID__P2 32171_001_B01_1_LID_LINER_ADHESIVE__LID_LINER_ASSY__DROID__P2 Mirror_Geometry__27_,32909_005_A01_1_LID_KIT__DROID__P2 32453_001_B01_1_LID_LINER_ASSY__DROID__P2 32171_001_B01_1_LID_LINER_ADHESIVE__LID_LINER_ASSY__DROID__P2 Mirror_Geometry__27_,Extrude__2__2Material0
36,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__3__1,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__3__1,Linked_Body__3__1Material0
37,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__1__7,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__1__7,Linked_Body__1__7Material0
38,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__4__1,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__4__1,Linked_Body__3__1Material0
39,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__5_,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__5_,Linked_Body__1__7Material0
40,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__2__2,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__2__2,Linked_Body__2__2Material0
41,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__58_,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__58_,Linked_Body__3_Material0
42,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 31711_002_D01_1_TOP_SHELL__LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__23_,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 31711_002_D01_1_TOP_SHELL__LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__23_,Linked_Body__3_Material0
43,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32087_000_A01_1_4MM__SIDE_MOUNT_EXTERNAL_RETAINING_RING__COTS IMPORTED1,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32087_000_A01_1_4MM__SIDE_MOUNT_EXTERNAL_RETAINING_RING__COTS IMPORTED1,IMPORTED1Material0
44,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 31707_000_A01_1_LATCH_SHAFT__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__1__8,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 31707_000_A01_1_LATCH_SHAFT__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__1__8,Linked_Body__3_Material0
45,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 31709_000_A02_1_LATCH_SPRING__LID_STRUCTURE_ASSY__DROID__P2 Mirror_Geometry__18_,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 31709_000_A02_1_LATCH_SPRING__LID_STRUCTURE_ASSY__DROID__P2 Mirror_Geometry__18_,IMPORTED1Material0
46,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 31707_000_A01_1_LATCH_SHAFT__LID_STRUCTURE_ASSY__DROID__P2_1 Linked_Body__1__8,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 31707_000_A01_1_LATCH_SHAFT__LID_STRUCTURE_ASSY__DROID__P2_1 Linked_Body__1__8,Linked_Body__3_Material0
47,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32087_000_A01_1_4MM__SIDE_MOUNT_EXTERNAL_RETAINING_RING__COTS_1 IMPORTED1,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32087_000_A01_1_4MM__SIDE_MOUNT_EXTERNAL_RETAINING_RING__COTS_1 IMPORTED1,IMPORTED1Material0
48,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2 Extrude__5_,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2 Extrude__5_,Extrude__5_Material0
49,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2 Extrude__4__1,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2 Extrude__4__1,Extrude__4__1Material0
50,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 31708_000_B01_1_LATCH_HOOK__LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__1__9,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 31708_000_B01_1_LATCH_HOOK__LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2 Linked_Body__1__9,Linked_Body__1__6Material0
51,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2_1 Extrude__5_,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2_1 Extrude__5_,Extrude__5_Material0
52,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2_1 Extrude__4__1,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 23950_000_A02_1_MAGNET__HALL_EFFECT_TRIGGER__DROID__P2_1 Extrude__4__1,Extrude__4__1Material0
53,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 31708_000_B01_1_LATCH_HOOK__LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 Linked_Body__1__9,32909_005_A01_1_LID_KIT__DROID__P2 _32304_006_A01_1_LID_STRUCTURE_ASSY__DROID__P2 32452_002_C02_1_LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 31708_000_B01_1_LATCH_HOOK__LATCH_HOOK_ASSY__LID_STRUCTURE_ASSY__DROID__P2_1 Linked_Body__1__9,Linked_Body__1__6Material0
